849-Lester_Young_w_Oscar_Peterson_Trio-Just_You _Just_Me                                                                         _^PNl63ARx0DM.m4a    c=3 p=0 t=1 to=1036 ss=575
124-Beethoven_Op78_Piano-Sonata-24_F-sharp-maj _^G7sDg8_26N8.opus                                                               v=0db                cmp=ckb3 F=y c=1 p=0 t=1.12 to=34697 ss=34111
709-Quantz_Duet_1_QV3_2_Op2-1_Larghetto _^GgwQ8uhOXMw.opus.mp3                                                           ss=0                
935-Bob_van_Asperen_plays_Renaissance_music_on_historical_Virginals _^GIo4iEu-DNM.m4a                                                                F=y                  c=1 p=1 t=1.53 ss=0
123-Bob_van_Asperen_plays_Virginals _^GIo4iEu-DNM.m4a.mp3                                                            ss=0                
919-The_Who-Eminence_front _^GnHLgxKUsEA.mp3                                                                ss=0                
316-16-Quantz_Capricio_VI_in_G_Major_QV_3_1.14 _^GRegie4vU_c.opus.mp3                                                           ss=0                
719-Quantz_Duet_3_QV3_2_Op2-3_Minuetto _^H4BWW22C6rg.opus.mp3                                                           ss=0                
518-Bach_BWV1055_Flute_Concerto_C_maj_Rampal _^h4uPZzsoACg.opus                                                               v=-5db               c=3 p=2 t=1.18 ss=0
823-Butch_Thompson_Creepy_Feeling _^hbnzxYOHNno.opus                                                               c=3                  p=0 t=1 to=273 ss=2
938-Fugace _^hEU4klRfSGg.m4a                                                                F=y                  c=4 p=0 t=1.05 ss=0
963-Vivaldi_RV443_Recorder_Concerto_Steger_Gabetta _^hggISFswKcw.m4a                                                                F=y                  c=3 p=-4 t=1.625 to=649.75 ss=12
301-01-Quantz_Vivace_alla_Francese_No._10_in_D_Major_QV_3_1.3 _^HJ8SH-_OMuQ.opus.mp3                                                           ss=0                
940-Beatles-Eleanor_Rigby _^HuS5NuXRb5Y.opus                                                               v=-18db              cmp=hrn3 c=3 p=0 t=1 to=128 ss=0
907-Vivaldi_La_Folia_Apollo_s_Fire _^i4qePY2Wdss.opus                                                               F=y                  c=3 p=0.02 t=1.12 to=427.09 ss=0
105-Richie_Havens-Follow _^IEazNNJEcm0.opus                                                               v=-1db               cmp=hrn3 c=1 p=0 t=0.948 ss=0
918-Fanny-Aint_that_Peculiar_LIVE_1972-11-25 _^imZUqkPlUaQ.mp3                                                                ss=0                
914-STAIRWAY_TO_HEAVEN_PORTUGUES_INGLES _^iXEsCEOh2yc.mkv.mp3                                                            ss=0                
304-Bach_BWV226-Motet_2_Der_Geist_hilft_unser_Schwachheit_auf_Scroll _^iZW6YxgagL8.mkv                                                                v=3db                c=5 p=-4 t=0.956 to=528 ss=30
926-Monteverdi_Poppea_coronation _^j650NanGNyk.wav                                                                F=y                  c=4 p=-2.95 t=0.71 ss=0
